"","symbols","allENT","moduleColors","riBAQ 17","riBAQ 18","riBAQ 35","riBAQ 36","riBAQ 19","riBAQ 20","riBAQ 21","riBAQ 22","riBAQ 23","riBAQ 37","riBAQ 38","riBAQ 39","riBAQ 40","riBAQ 41","riBAQ 24","riBAQ 25","riBAQ 26","riBAQ 42","riBAQ 43"
"304","CD81","ENSG00000110651","grey",0.004692937,0,0.003108202,0.004285818,0,0,0,0,0,0.005394233,0.00624247,0.00607252,0.004920539,0.00407054,0,0,0,0.009356216,0.006356275
"305","CD82","ENSG00000085117","grey",0.000242593,0.000251472,9.61e-05,0.000163476,0.000321283,0.000425587,0.000495652,0.000631325,0.000308999,0.000219783,0.000427637,0.000438983,0.000639067,0.000369206,0.000468015,0.000237307,0.000483506,0.000330475,0.000228182
"306","CD9","ENSG00000010278","grey",0.004025417,0.003988301,0.002844149,0.001841776,0.004533883,0.007796659,0.006077867,0.0064265,0.005009344,0.005296296,0.00781152,0.0063964,0.005823524,0.003915364,0.005739944,0.003677894,0.010049627,0.005129029,0.006007547
"307","CDC37","ENSG00000105401","black",0.000122907,0.000235006,0.000251659,0.000189825,0.000144153,0.000209222,9.23e-05,0.000169817,0.000138993,0.000236906,0.000243267,0.000117509,0.000169796,0.00016648,7.92e-05,5.59e-05,7.53e-05,8.84e-05,5.68e-05
"308","CDC42","ENSG00000070831","grey",0.003029408,0.002868609,0.002893419,0.003063527,0.003137903,0.002356497,0.002395175,0.002239537,0.002634764,0.002619435,0.002259442,0.00264516,0.001812794,0.002554827,0.003732517,0.003856331,0.003655755,0.002582019,0.002360979
"309","CDC42BPB","ENSG00000198752","black",5.82e-06,7.64e-06,7.61e-06,5.86e-06,4.47e-06,0,5.05e-06,6.19e-06,4.35e-06,5.81e-06,6.73e-06,4.62e-06,0,4.07e-06,2.96e-06,4.49e-06,2.24e-06,3.35e-06,0
"310","CDC42EP4","ENSG00000179604","turquoise",1.98e-05,0,0,0,0,0,0,0,0,0,0,2.77e-05,2.6e-05,0,0,5.81e-05,5.09e-05,5.01e-05,4.26e-05
"311","CDH13","ENSG00000140945","turquoise",0.000713434,0.000633559,0.000609169,0.000352391,0.000590214,0.000474131,0.000612376,0.000359575,0.000589957,0.000440067,0.00046937,0.000425351,0.000640243,0.000560685,0.000211885,0.000252802,0.000144466,0.000133815,0.000279213
"312","CDH2","ENSG00000170558","turquoise",0.000143593,0.000164418,0.000116917,0.000110083,9.37e-05,0.000136975,0.000157637,0.000189382,0.000175062,0.000103679,0.000129139,9.53e-05,0.000150706,0.000130758,0.000185634,0.000243012,0.00032681,0.000180749,0.000285746
"313","CDK5","ENSG00000164885","black",6.74e-05,7.77e-05,7.98e-05,7.35e-05,0,0,7.47e-05,4.8e-05,0,7.4e-05,6.13e-05,5.92e-05,0,0,0,0,0,0,2.4e-05
"314","CELSR2","ENSG00000143126","turquoise",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3e-05,7.4e-06,1.71e-05,1.66e-05
"315","CES1","ENSG00000262243","green",1.09e-05,0,0,0,0,2.67e-05,0,0,8.4e-06,1.44e-05,0,0,0,0,3.98e-05,3.77e-05,0,5.85e-05,4.83e-05
"316","CFH","ENSG00000000971","green",0,0,0,0,0,4.36e-06,8.9e-06,6.54e-06,0,0,2.46e-06,0,8.03e-06,0,1.23e-05,9.47e-06,0,2.02e-05,5.86e-06
"317","CFL1","ENSG00000172757","black",0.005312573,0.006061567,0.007107294,0.006706288,0.005588131,0.006111698,0.00501536,0.005442621,0.006152321,0.007493081,0.006322016,0.004875651,0.005892277,0.00782032,0.004360527,0.003923683,0.004969203,0.006195336,0.004917938
"318","CFL2","ENSG00000165410","grey",0.000201177,0.000274639,0.000227659,0.000237891,0.000183996,0.000265549,0.000182525,0.000211377,0.000223258,0.000163746,0.000310802,0.000161106,0.00022248,0.000226198,0.000207947,0.000154582,0.000207677,0.00021083,0.000176756
"319","CHCHD3","ENSG00000106554","turquoise",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000232041,0.000180015,6.74e-05,0.000198977
"320","CHDH","ENSG00000016391","turquoise",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15e-05,8.94e-06,9.3e-06,4.64e-05
"321","CHGA","ENSG00000100604","grey",0,0,0,0,0,3.99e-05,5.41e-05,5.79e-05,2.71e-05,1.71e-05,2.16e-05,3.51e-05,6.39e-05,1.67e-05,0,0,0,0,0
"322","CHGB","ENSG00000089199","grey",0,0,0,0,6.54e-06,1.34e-05,1.23e-05,1.76e-05,0,1.02e-05,7.59e-06,0,1.68e-05,8.16e-06,0,0,0,0,0
"323","CHL1","ENSG00000134121","grey",5.11e-05,4.55e-05,6.43e-05,3.35e-05,7.89e-05,8.54e-05,0.000132205,6.4e-05,4.67e-05,5.47e-05,5.37e-05,5.46e-05,8.98e-05,6.91e-05,5.08e-05,5.52e-05,4.62e-05,3.45e-05,5.84e-05
"324","CHMP4B","ENSG00000101421","black",0.000109793,0.000268784,0.000142739,0.000225521,0.000169208,0.000203005,0.000177403,0.000237581,0.000202371,0.000182041,0.000200008,0.000108897,9.18e-05,0.000124223,0.000136049,0.000114617,0.00013597,0.000145101,0.000107846
"325","CHORDC1","ENSG00000285023","black",0,4.5e-05,6.87e-05,5.23e-05,4.58e-05,4.67e-05,3.49e-05,6.85e-05,0,3.46e-05,5.16e-05,4.18e-05,4.49e-05,0,0,0,0,0,0
"326","CHP1","ENSG00000187446","grey",0.000102069,0.000102313,7.8e-05,7.32e-05,4.63e-05,8.47e-05,8.63e-05,0,6.46e-05,6.89e-05,9.26e-05,3.42e-05,6.44e-05,3.74e-05,8.41e-05,8.81e-05,4.94e-05,3.06e-05,5.71e-05
"327","CIB1","ENSG00000185043","grey",0,0,0,0,0,2.84e-05,0,3.24e-05,0,2.27e-05,2.81e-05,0,0,0,3.03e-05,1.96e-05,4.14e-05,0,2.52e-05
"328","CISD1","ENSG00000122873","turquoise",0.00030733,0,0.000203505,0.000233991,0.000872777,0.000669069,0,0.000361559,0.000399518,0.000586658,0.00038857,0.000323692,0.000336351,0,0.000741859,0.001273026,0.001326073,0.001035102,0.001500724
"329","CKAP4","ENSG00000136026","green",0,0,0,0,0,1.45e-05,2.25e-06,0,0,0,0,0,0,0,7.14e-06,3.05e-05,2.37e-05,4.03e-05,2.29e-05
"330","CKAP5","ENSG00000175216","black",7.78e-06,2.12e-05,2.11e-05,1.9e-05,1.3e-05,1.44e-05,1.05e-05,1.42e-05,1.16e-05,1.55e-05,1.96e-05,7.3e-06,5.36e-06,8.91e-06,6.47e-06,8.8e-06,8.58e-06,5.35e-06,6.75e-06
"331","CKB","ENSG00000166165","grey",0.007425975,0.010318875,0.008201035,0.008832603,0.004543374,0.008471041,0.010539583,0.010242654,0.005746613,0.007930767,0.007762516,0.007830286,0.007957667,0.005166552,0.007097665,0.006991574,0.004911715,0.006537424,0.00552413
"332","CKMT1A","ENSG00000223572","turquoise",0.000171077,0.00017516,0.00012999,0.000128427,0.000119714,0.000232356,0.000231823,0.000196788,0.000121859,0.000151204,0.000165357,6.77e-05,9.98e-05,6.43e-05,0.000132597,0.000246625,0.000146093,0.00011075,0.000363677
"333","CLASP2","ENSG00000163539","black",9.34e-06,1.63e-05,2.07e-05,2.07e-05,1.13e-05,6.98e-06,1.1e-05,9.7e-06,9.15e-06,1.03e-05,1.99e-05,6.16e-06,4.17e-06,6.2e-06,3.14e-06,3.93e-06,5.38e-06,0,0
"334","CLEC2L","ENSG00000236279","grey",6.15e-05,4.26e-05,2.32e-05,0,0,3.09e-05,0,1.89e-05,0,3.81e-05,4.08e-05,0,0,0,0,0,0,0,0
"335","CLIC1","ENSG00000230685","turquoise",3.78e-05,2.98e-05,2.61e-05,0,5.84e-05,3.97e-05,2.71e-05,7.06e-05,4.26e-05,5e-05,5.46e-05,4.73e-05,6.01e-05,4.54e-05,0.000102651,0.000118384,0.000165368,0.000254343,0.000132167
"336","CLIC4","ENSG00000169504","green",9.83e-05,0.000125884,6.96e-05,5.07e-05,0.000169398,0.000233388,0.000131179,0.000173432,0.000208983,0.000108179,0.000160228,0.00010815,7.09e-05,0.00012568,0.000188437,0.000239954,0.000330962,0.00051562,0.0002126
"337","CLIP2","ENSG00000106665","black",1.64e-05,3.92e-05,4.05e-05,5.39e-05,1.57e-05,2.82e-05,1.43e-05,2.02e-05,1.98e-05,3.1e-05,2.9e-05,1.15e-05,1.71e-05,2.06e-05,1.74e-05,1.05e-05,1.27e-05,1.71e-05,6.83e-06
"338","CLTA","ENSG00000122705","pink",0.000595595,0.002312341,0.002012344,0.001772846,0.001049007,0.001425665,0.002979794,0.00127721,0.000850304,0.001601523,0.001513345,0.000563035,0.000590761,0.000987388,0.000757962,0.000603587,0.000726875,0.000833081,0.000659433
"339","CLTB","ENSG00000175416","black",0.000376787,0.001216742,0.001158676,0.001167686,0.000612536,0.00062677,0.00044062,0.000649641,0.000431107,0.0008315,0.001125915,0.000304407,0.000274014,0.000528956,0.000270521,0.000247736,0.000190273,0.000328044,0.000239825
"340","CLTC","ENSG00000141367","pink",0.000867283,0.00246882,0.002101068,0.001987747,0.001752568,0.001942691,0.003839607,0.001553539,0.001019746,0.002025531,0.002234484,0.000629775,0.00047861,0.001138181,0.000779941,0.000636529,0.000625988,0.000772415,0.000785648
"341","CLU","ENSG00000120885","turquoise",0.000228351,0.000356014,0.000263937,0.00035483,0.000212145,0.000519687,0.000413678,0.000501616,0.000377622,0.00038686,0.000302482,0.000298161,0.000189323,0.000331201,0.000319717,0.000477628,0.000405201,0.000484214,0.000768606
"342","CMBL","ENSG00000164237","turquoise",6.9e-05,4.24e-05,6.9e-05,6.35e-05,0.000101336,7.34e-05,6.65e-05,9.63e-05,7.51e-05,8.74e-05,9.16e-05,7.45e-05,8.34e-05,7.09e-05,0.000127444,0.000146538,9.02e-05,0.000140757,0.000123863
"343","CMPK1","ENSG00000162368","black",0.000119193,0.000214652,0.000211569,0.00015007,0.00013248,0.000194603,0.000125984,0.00013498,0.0001135,0.000161982,0.000170364,0.000103083,8.46e-05,0.000102101,0.000107205,0.000116507,0.000151943,0.000132356,0.000138944
"344","CNDP1","ENSG00000150656","grey",0,0,0,0,0,2.18e-05,0,2.6e-05,1.71e-05,1.14e-05,1.29e-05,1.09e-05,2.55e-05,2.76e-05,2.53e-05,0,2.16e-05,0,0
"345","CNDP2","ENSG00000133313","black",0.000264461,0.000337236,0.00028734,0.000311856,0.000284375,0.000512438,0.000472929,0.000477866,0.000400083,0.00042712,0.000428161,0.000367821,0.000413768,0.000492306,0.000535014,0.000497355,0.000646842,0.000712778,0.000523861
"346","CNN3","ENSG00000117519","turquoise",4.07e-05,6.25e-05,4.09e-05,4.81e-05,5.27e-05,6.74e-05,6.48e-05,7.54e-05,8.68e-05,6.85e-05,8.08e-05,5.46e-05,8.76e-05,8.42e-05,0.000102267,0.000141922,0.000156106,0.000184032,8.8e-05
"347","CNP","ENSG00000173786","grey",0.002373169,0.004252685,0.001783685,0.002105665,0.003265939,0.007095955,0.003430555,0.003834165,0.002672406,0.003554113,0.004739746,0.003812348,0.002285475,0.003452989,0.002836862,0.00194004,0.002641362,0.001188898,0.001817846
"348","CNPY2","ENSG00000257727","green",0,0,1.6e-05,0,0,0.000124711,3.14e-05,3.13e-05,0,3.21e-05,3.1e-05,0,0,0,6.04e-05,6.68e-05,6.09e-05,0.000208439,8.98e-05
"349","CNRIP1","ENSG00000119865","black",0.000617468,0.000817343,0.000963697,0.000788149,0.000815629,0.00058805,0.000540654,0.000654494,0.00056262,0.000686558,0.000631563,0.000495029,0.000525127,0.000680694,0.000337085,0.000249817,0.000194729,0.000232457,0.000273526
"350","CNTFR","ENSG00000122756","black",0.00050234,0.000266964,0.000238514,0.000276756,0.000354417,0.000425359,0.000513897,0.000369313,0.000278045,0.000202545,0.000353424,0.000486867,0.000348747,0.000312229,0.000663097,0.000785758,0.000527205,0.000496914,0.000501305
"351","CNTN1","ENSG00000018236","grey",0.001456918,0.000964331,0.001217338,0.000845675,0.001292867,0.001035263,0.001729396,0.000855116,0.001075883,0.00099866,0.001006618,0.001340127,0.000941323,0.00109863,0.000969728,0.00107049,0.000878863,0.000607835,0.001196744
"352","CNTN2","ENSG00000184144","grey",8.84e-06,0,6.78e-06,0,6.78e-06,1.79e-05,2.92e-05,0,9.54e-06,0,2.32e-05,1.73e-05,1.49e-05,6.53e-06,1.41e-05,1.39e-05,1.45e-05,0,6.84e-06
"353","CNTNAP1","ENSG00000108797","turquoise",0.000289787,0.000242287,0.000260492,0.000266357,0.00031273,0.000204399,0.000226505,0.000199175,0.000287266,0.000339959,0.000279028,0.000261544,0.000221838,0.000206659,0.000164113,0.000173275,0.000205069,0.000110258,0.000131864
"354","CNTNAP2","ENSG00000174469","grey",9.72e-06,9.58e-06,1.9e-05,0,1.2e-05,2.61e-05,4.01e-05,0,0,1.41e-05,2.18e-05,1.36e-05,1.33e-05,9.79e-06,1.6e-05,1.83e-05,1.35e-05,1.15e-05,2.02e-05
"355","COA6","ENSG00000168275","grey",4.12e-05,0,4.36e-05,3.18e-05,0,0,0,0,0,4.8e-05,0,0,6.71e-05,0,0,0,0,0,0
"356","COASY","ENSG00000068120","grey",1.31e-05,2.28e-05,0,1.07e-05,0,0,0,1.75e-05,0,0,0,0,0,0,0,0,0,1.06e-05,1.75e-05
"357","COL1A1","ENSG00000108821","turquoise",0,0,0,0,0,0,0,0,0,7.12e-06,0,5.26e-06,0,0,1.45e-05,3.45e-05,9.94e-06,1.47e-05,3.76e-05
"358","COL4A1","ENSG00000187498","grey",0.000590915,0.000156567,0.000249368,0.000219136,0.000186946,0.000196446,0.000331638,0.00018796,0.000423926,0.000467005,0.00018079,0.000493763,0.000700919,0.000358703,0.000228728,0.000236736,0.000234212,0.000219442,0.000272316
"359","COL4A2","ENSG00000134871","grey",0.000520321,0.000222298,0.000223425,0.000154907,0.000237233,0.000199782,0.000318575,0.000224186,0.000393937,0.000391955,0.000203297,0.000386464,0.000549919,0.000297238,0.000250458,0.000294228,0.000259736,0.000202956,0.000233197
"360","COL6A1","ENSG00000142156","turquoise",0.000164506,3.14e-05,6.36e-05,1.75e-05,0.000262328,0.000458651,0.000295481,0.000130526,0.000390303,0.00082772,0.000108028,0.000148155,0.000171018,0.000178163,0.00060264,0.002204789,0.000485122,0.001942635,0.001782243
"361","COL6A2","ENSG00000142173","turquoise",0.000117493,1.59e-05,3.92e-05,8.4e-06,0.000165391,0.000287488,0.000179157,7.89e-05,0.000220986,0.000601798,7.29e-05,0.000102266,0.000115975,0.000138943,0.000377309,0.001735844,0.00032799,0.001464227,0.00120541
"362","COL6A3","ENSG00000163359","turquoise",5.17e-05,1.12e-05,2.42e-05,6.14e-06,8.95e-05,0.000144366,9.96e-05,4.66e-05,0.000130358,0.000269482,3.69e-05,4.24e-05,4.75e-05,5.65e-05,0.000174351,0.000755976,0.00015023,0.000642673,0.000561962
"363","COLEC12","ENSG00000158270","turquoise",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22e-05,2.3e-05,1.77e-05,1.82e-05,1.99e-05
"364","COMT","ENSG00000093010","green",0,0,5.04e-05,4.55e-05,6.48e-05,0.000322459,0.000105181,4.88e-05,0,0.000126956,0.000142306,7.48e-05,8.41e-05,6.34e-05,0.000204788,0.000224345,0.000244872,0.000891688,0.000239998
"365","COPA","ENSG00000122218","green",0,0,0,0,0,7.17e-06,5.4e-06,0,0,0,0,0,0,0,0,6.33e-06,4.76e-06,6.86e-06,7.59e-06
"366","COPB1","ENSG00000129083","turquoise",0,0,0,0,0,0,1.25e-05,0,0,8.86e-06,0,0,0,0,9.64e-06,2.02e-05,1.65e-05,2.48e-05,1.76e-05
"367","COPS2","ENSG00000166200","black",7.63e-05,0.000141046,0.000138951,0.000147934,0.000117997,9.02e-05,0.000106439,0.000113938,9.56e-05,0.000136409,0.000135694,4.91e-05,2.49e-05,9.78e-05,7.07e-05,4.44e-05,7.24e-05,6.26e-05,6.77e-05
"368","COPS3","ENSG00000141030","grey",2.57e-05,2.32e-05,4.25e-05,4.17e-05,2.05e-05,0,3.14e-05,2.93e-05,2.32e-05,3.72e-05,3.97e-05,0,1.72e-05,3.76e-05,2.81e-05,1.75e-05,3.05e-05,1.59e-05,2.34e-05
"369","COPS4","ENSG00000138663","black",4.75e-05,9.45e-05,0.000146484,0.000147747,8.6e-05,0.000106052,9.14e-05,0.000116484,6.07e-05,0.000145873,0.000122607,6.21e-05,7.04e-05,0.000126636,6.98e-05,5.83e-05,4.74e-05,6.76e-05,5.61e-05
"370","COPS5","ENSG00000121022","black",6.97e-05,9.78e-05,8.89e-05,9.31e-05,7.66e-05,6.66e-05,8.1e-05,8.62e-05,8.57e-05,8.2e-05,7.15e-05,4.16e-05,4.48e-05,8.63e-05,5.26e-05,4.51e-05,3.95e-05,4.17e-05,3.35e-05
"371","COPS6","ENSG00000168090","black",0.000107764,0.000136685,0.000183388,0.000191851,0.00013312,0.000149872,0.000152085,0.000132346,0.000136292,0.000180433,0.000188735,7.92e-05,8.07e-05,0.00014714,8.3e-05,4.84e-05,6.61e-05,6.46e-05,8.26e-05
"372","COPS7A","ENSG00000111652","black",2.6e-05,3.18e-05,3.92e-05,3.75e-05,2.46e-05,3.63e-05,3.38e-05,2.46e-05,3.05e-05,3e-05,3.88e-05,0,0,3.06e-05,2.9e-05,0,0,0,2.17e-05
"373","CORO1A","ENSG00000102879","black",0.000238455,0.000377551,0.000460842,0.000550924,0.000310267,0.000246214,0.000184072,0.000313327,0.00022891,0.000242189,0.000214867,0.000122598,5.39e-05,0.000319688,9.54e-05,8.41e-05,9.15e-05,0.000102712,8.21e-05
"374","CORO1B","ENSG00000172725","grey",3.28e-05,4.33e-05,4.04e-05,4.21e-05,2.95e-05,4.45e-05,2.24e-05,4.24e-05,4.67e-05,3.36e-05,4.22e-05,0,3.09e-05,2.97e-05,3.66e-05,3.52e-05,4.18e-05,5.09e-05,4.17e-05
"375","CORO1C","ENSG00000110880","black",4.24e-05,4.72e-05,7.84e-05,6.83e-05,5.94e-05,4.43e-05,4.37e-05,6.65e-05,4.7e-05,5.12e-05,6.07e-05,5.07e-05,3.11e-05,5.93e-05,4.32e-05,4.01e-05,3.98e-05,3.54e-05,4.61e-05
"376","CORO2B","ENSG00000103647","black",9.1e-05,8.41e-05,8.33e-05,7.19e-05,3.83e-05,5.32e-05,7.49e-05,4.89e-05,6.07e-05,6.17e-05,8.74e-05,5.83e-05,5.87e-05,4.55e-05,5.93e-05,3.65e-05,6.01e-05,4.25e-05,4.89e-05
"377","COTL1","ENSG00000103187","black",0.0005752,0.000532127,0.00029831,0.000280435,0.000544619,0.000667205,0.000495837,0.000747845,0.001032058,0.00049507,0.000717355,0.000715459,0.001049563,0.000784114,0.000921194,0.001042911,0.001184981,0.001027694,0.00119586
"378","COX4I1","ENSG00000131143","turquoise",0.000239829,7.95e-05,7.23e-05,0.000110715,0.000363635,0.000317607,0.000234673,0.00026812,0.000193112,0.000283911,0.000140683,0.000158491,0.000116269,6.92e-05,0.000517007,0.001465763,0.000908209,0.000513561,0.002169611
"379","COX5A","ENSG00000178741","turquoise",0.000178866,7.67e-05,0,0,0.000286838,0.000351035,0.000163658,0.000253082,0.000164197,0.000222247,0.000122133,0.000134654,0.000193716,6.45e-05,0.00046336,0.001184064,0.0005688,0.000429297,0.001729329
"380","COX5B","ENSG00000291596","turquoise",0.000153131,8.75e-05,4.3e-05,0,0,0.000285802,0.00022595,0.000219054,0.000195233,0.000179222,0.000104395,0.000160713,0.000172577,0,0.00042934,0.000947628,0.000572219,0.000390398,0.001375105
"381","COX6B1","ENSG00000126267","turquoise",0.000241903,0.000196468,0.000148168,0.000167229,0.000349725,0.000589601,0.000360457,0.00041608,0.000229208,0.000429187,0.000317594,0.000377656,0.000506111,0.000119968,0.000865144,0.002016873,0.000641844,0.00119828,0.002856116
"382","CP","ENSG00000047457","turquoise",1.88e-05,8.23e-06,0,0,4.87e-05,8.12e-05,2.39e-05,6.76e-05,6.85e-05,2.2e-05,3.87e-05,3.28e-05,6.15e-05,2.9e-05,0.000198488,0.000527456,0.000525552,0.000327872,0.000378952
"383","CPE","ENSG00000109472","turquoise",6.52e-05,7.06e-05,5e-05,4.14e-05,0.000100275,0.000129186,0.000135639,9.39e-05,0,5.94e-05,7.14e-05,6.09e-05,6.31e-05,6.93e-05,8.45e-05,0.00011343,5.44e-05,0.000105747,0.000170656
"384","CPLX1","ENSG00000168993","black",0.000539139,0.000684518,0.000640136,0.000622435,0.000231047,0.000478342,0.000195792,0,0,0.000678184,0.000666892,0.00047399,0.000447148,0.000417178,0.000218077,0,0,0,0
"385","CPLX2","ENSG00000145920","black",0.002243803,0.002790005,0.002350301,0.003649853,0.002322811,0.001144743,0.000748677,0.002292776,0.001778386,0.002941644,0.002387765,0.001543054,0.001778699,0.001786957,0.000615918,0,0.000369806,0.000178669,0.000238576
"386","CPM","ENSG00000135678","black",2.79e-05,0,2.35e-05,0,2.49e-05,4.55e-05,9.59e-05,4.5e-05,4.18e-05,3.41e-05,4.64e-05,2.97e-05,5.64e-05,5.83e-05,5.67e-05,9.21e-05,6.64e-05,6.51e-05,5.65e-05
"387","CPNE1","ENSG00000214078","grey",2.09e-05,9.08e-05,6.43e-05,4.42e-05,0,0,1.4e-05,0,0,4.67e-05,6.43e-05,3.54e-05,0,3.34e-05,5.77e-05,2.3e-05,4.58e-05,0.000120606,6.75e-05
"388","CPNE2","ENSG00000140848","turquoise",3.45e-05,3.44e-05,1.19e-05,2.26e-05,4.62e-05,4.28e-05,3.75e-05,2.27e-05,3.01e-05,2.49e-05,2.98e-05,2.69e-05,2.01e-05,2.02e-05,2.95e-05,7.71e-05,5.4e-05,7.2e-05,7.34e-05
"389","CPNE3","ENSG00000085719","turquoise",0.000339317,0.000333995,0.00021411,0.000270413,0.000368991,0.000277976,0.000285163,0.000277571,0.000266156,0.000256138,0.000313172,0.000348301,0.000255841,0.000226829,0.000433838,0.000580349,0.000723756,0.000861741,0.000681779
"390","CPNE4","ENSG00000196353","black",4.31e-05,7.39e-05,8.84e-05,7.84e-05,4.91e-05,3.21e-05,1.98e-05,3.44e-05,3.19e-05,3.82e-05,3.76e-05,1.78e-05,1.49e-05,4.87e-05,1.8e-05,0,2.72e-05,0,0
"391","CPNE5","ENSG00000124772","black",0.00028028,0.000302134,0.000376064,0.000339626,0.000326903,0.000201297,0.000136805,0.000200863,0.000223698,0.000287649,0.000228611,0.000227344,0.000133827,0.000323726,6.71e-05,3.67e-05,7.19e-05,6.97e-05,2.72e-05
"392","CPNE6","ENSG00000285221","grey",0.000206976,0.000347632,0.000269422,0.000477797,0.000658379,0.000434052,0.000331561,0.000340313,0.000328639,0.000243609,0.000342028,0.000217025,0.000152007,0.000321549,0.000351312,0.000334369,0.000411364,0.000571338,0.000228643
"393","CPNE8","ENSG00000139117","pink",6.09e-05,4.47e-05,3.72e-05,1.45e-05,1.83e-05,3.2e-05,5.29e-05,2.74e-05,2.11e-05,3.16e-05,4.32e-05,1.61e-05,6.78e-06,2.3e-05,9.89e-06,8.14e-06,1.68e-05,0,1.05e-05
"394","CPPED1","ENSG00000103381","black",2.75e-05,2.18e-05,2.28e-05,0,2.91e-05,4.05e-05,3.34e-05,4.11e-05,3.92e-05,0,2.83e-05,3.36e-05,5.39e-05,3.82e-05,3.98e-05,3.77e-05,4.58e-05,2.5e-05,3.03e-05
"395","CPT1A","ENSG00000110090","green",0,0,0,0,1.45e-05,3.09e-05,0,0,8.34e-06,1.15e-05,6.73e-06,5.18e-06,0,0,4.57e-05,8.95e-05,7.16e-05,0.000106319,0.000100563
"396","CRABP1","ENSG00000166426","turquoise",0.000105813,0,6.85e-05,0,3.17e-05,0.000131426,0,0,0.000337382,0.000243171,0,0.00028023,0,4.61e-05,0.000245062,0.000484555,8.82e-05,0.000372807,0.00036018
"397","CRAT","ENSG00000095321","turquoise",2.78e-05,0,0,1.14e-05,0,0,1.48e-05,0,0,7.77e-06,0,0,0,0,1.58e-05,1.29e-05,1.89e-05,0,3.3e-05
"398","CRK","ENSG00000167193","grey",4.46e-05,6.76e-05,4.04e-05,3.87e-05,0,0,0,5.4e-05,0,0,0,0,6.33e-05,4.53e-05,0,0,0,0,0
"399","CRKL","ENSG00000099942","black",7.37e-05,0.00012807,0.000107557,0.000114689,5.18e-05,9.46e-05,7.55e-05,6.66e-05,0,6.87e-05,0.000123769,6.92e-05,5.96e-05,6.08e-05,5.62e-05,6.57e-05,2.24e-05,8.03e-05,7.03e-05
"400","CRMP1","ENSG00000072832","black",0.000802945,0.000758791,0.001020183,0.001145617,0.000798587,0.000627147,0.000741313,0.000823246,0.000795088,0.000791385,0.000585157,0.000542825,0.000501587,0.001097116,0.00047844,0.000349914,0.00039686,0.00032956,0.00036654
"401","CRTAC1","ENSG00000095713","grey",2.66e-05,1.78e-05,4.03e-05,0,2.38e-05,3.26e-05,1.94e-05,0,1.6e-05,2.52e-05,3.85e-05,5.14e-05,4.5e-05,2.87e-05,3.26e-05,3.08e-05,2.35e-05,0,1.85e-05
"402","CRYAB","ENSG00000109846","black",0.001549533,0.002792682,0.000927091,0.000913669,0.002465371,0.003649846,0.003449207,0.004361057,0.002448562,0.00226298,0.003013653,0.003260095,0.002927992,0.003186161,0.004790896,0.004183836,0.00682575,0.004244349,0.006090934
"403","CRYL1","ENSG00000165475","turquoise",0.000155677,9.94e-05,9.09e-05,0.000125877,0.000180893,0.000148642,0.000179264,0.000194227,0.000225699,0.00016313,0.000153438,0.000201032,0.000213253,0.000186152,0.000253938,0.00028891,0.000443602,0.000370176,0.000297812
"404","CRYM","ENSG00000103316","black",0.00110966,0.001375412,0.001424442,0.001825182,0.000743956,0.000802714,0.000992414,0.001108,0.000917126,0.001051199,0.000708785,0.000758629,0.00045254,0.001914662,0.000588346,0.000370981,0.000351034,0.00054511,0.000274103
"405","CRYZ","ENSG00000116791","black",0.000118538,0.000139989,6.81e-05,5.88e-05,0.00014809,0.000125373,0.000179423,0.000155781,0.000218843,0.000112543,0.000101503,0.000201294,0.000296837,0.000109727,0.00011555,0.000225117,0.000232604,0.00027843,0.000244417
"406","CS","ENSG00000062485","turquoise",0.000181388,3.35e-05,4.45e-05,4.72e-05,0.000107199,6.6e-05,0.000191636,0.000104924,0.00013717,7.2e-05,3.87e-05,6.4e-05,8.65e-05,5.68e-05,0.000152214,0.000231274,0.000284118,5.85e-05,0.000161153
"407","CSE1L","ENSG00000124207","grey",0,1.11e-05,0,1.26e-05,6.21e-06,1.1e-05,9.25e-06,0,0,7.5e-06,1.07e-05,0,0,0,8.21e-06,1.61e-05,1.21e-05,1.05e-05,9.29e-06
"408","CSNK1G3","ENSG00000151292","grey",0,2.74e-05,1.76e-05,1.76e-05,5.23e-05,2.34e-05,0,2.24e-05,2.12e-05,1.62e-05,1.45e-05,1.04e-05,8.44e-06,0,0,0,0,1.24e-05,8e-06
"409","CSNK2A1","ENSG00000101266","grey",6.21e-05,0.000112782,0.000100669,8.86e-05,6.89e-05,0.00011584,7.96e-05,6.35e-05,5.56e-05,7.74e-05,9.68e-05,4.92e-05,2.68e-05,5.67e-05,5.77e-05,5.79e-05,0.000130357,9.9e-05,8.25e-05
"410","CSNK2A2","ENSG00000070770","grey",8.92e-06,2.8e-05,3.11e-05,2.57e-05,0,3.45e-05,2.49e-05,1.42e-05,0,2.21e-05,1.66e-05,0,0,0,0,2.69e-05,3.63e-05,2.21e-05,2.62e-05
"411","CSNK2B.LY6G5B.1181",NA,"grey",0,7.41e-05,6.63e-05,0,5.56e-05,6.97e-05,0,0,0,7.44e-05,6.64e-05,0,3.29e-05,0,0,5.73e-05,9.73e-05,9.27e-05,4.7e-05
